Producto;Código producto;Partida;Depósito;Stock:cant.1;Unidad ppal;Moneda del producto;Cotización;Familia;Estadopartida;Cantidadgestionar
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"ABRAZADERA INOXIDABLE 6 5/8"" 991087 M52";TALLER FINCA TOLLOCHE;19.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAJA ELECTRICA INTERMEDIA 1811698 M52;TALLER FINCA TOLLOCHE;20.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TAPA SELLO DE DRENAJE 232004 M28;TALLER FINCA TOLLOCHE;9.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TAPA DE CAJA ELECTRICA 9311146 M28;TALLER FINCA TOLLOCHE;36.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CUELLO DE CISNE M ESPIGA 3/4 246222 M47;TALLER FINCA TOLLOCHE;125.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;SELLO MECANICO SFJ48FF3V PARA EJE 76.20MM M61;TALLER FINCA TOLLOCHE;1.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CARGADOR PORTATIL M10;TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CORREA 3148886 R30;TALLER FINCA TOLLOCHE;1.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;ENTRERROSCA 3/4 M42;TALLER FINCA TOLLOCHE;213.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CORREA B90 M71;TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;ASPERSOR KOMET M01TWISTER BLACK KPT36;TALLER FINCA TOLLOCHE;487.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;ASPERSOR KOMET 180° ROTATIVO KPTPC M01;TALLER FINCA TOLLOCHE;64.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA KOMET KNZZ M01;TALLER FINCA TOLLOCHE;529.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;MANGUERA FLEXIBLE 3/4 111-H3RA250 M47;TALLER FINCA TOLLOCHE;4.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;MOTORREDUCTOR 1-1/2 HP30:1 241-168101B M47;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;MOTORREDUCTOR HORIZONTAL 03E4752 M02;TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;MAZA FIJA DOBLE 1703321 M03;TALLER FINCA TOLLOCHE;1.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ; CORONA 1700868 M03;TALLER FINCA TOLLOCHE;66.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ; CABLE CINTA 20 PINES 1813249 M11;TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TAPA DE CAJA 1702056 M28;TALLER FINCA TOLLOCHE;85.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"ABRAZADERA CINTA 8"" CABLE EJE DE TORRE 271024 M47";TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TAPA DE CAJA NEGRA 1750812 M28;TALLER FINCA TOLLOCHE;4.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA N°20 601691 M67;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA N°20.5 601692 M67;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"TORNILLO 3/4 X 1"" 3/4 161139 M28";TALLER FINCA TOLLOCHE;25.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TUERCA AUTOFRENANTE 3/4 133011 M28;TALLER FINCA TOLLOCHE;23.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;PRECINTO DE CHAPA 1039 M48;TALLER FINCA TOLLOCHE;72.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;REGULADOR DE CARGA SOLAR 5AMP 12V M72;TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CABRESTANTE ELECTRICO 1000 KG MOTOR TRIFASICO M03;TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ; CAÑO POSABOLA 8 5/8 (H) 9360096 M;TALLER FINCA TOLLOCHE;19.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;EJE DE MAZA FIJA 1703239 M02;TALLER FINCA TOLLOCHE;10.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;RODAMIENTO PUNTA SINFÍN HM89446/410 M40;TALLER FINCA TOLLOCHE;146.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO FINAL V 6-5/8 9360132 M;TALLER FINCA TOLLOCHE;4.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;KIT LLAVE ON OF DE PANEL 314799 M12;TALLER FINCA TOLLOCHE;5.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TUERCA 5/16 - 24 M47;TALLER FINCA TOLLOCHE;150.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;VALVULA ESFERICA VAL. 1/4 GALV. M46;TALLER FINCA TOLLOCHE;11.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;REGULADOR 10 PSI 227210 M59 - M64;TALLER FINCA TOLLOCHE;2.374.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"CONECTOR PARA CAÑO DE 1"" FT-34 M59";TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"ESPIGA ROSCA (M) ESP 1"" PVC M68";TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOBINADO MOTOR ULTIMA TORRE  M02;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO PORTABOLA 8 5/8 (M) 9360098 M;TALLER FINCA TOLLOCHE;19.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TERMINALES CON OJO  M17;TALLER FINCA TOLLOCHE;17.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CUBRE CRUCETA 1702614 M48;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO PORTABOLA 6 5/8 9360128 M;TALLER FINCA TOLLOCHE;38.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO INTERMEDIO 8 5/8 9360094  M;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;MOTOR ULTIMA TORRE 03E2056 M07 - M08;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;SINFIN SALIDA SIMPLE 1701922 M12;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA SENINGER N° 22  M38;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA UP3 N° 18  M38;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;PLAQUETA ZOCALO DE RELAY 110 V 314830 M73;TALLER FINCA TOLLOCHE;1.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CONECTOR KA1220 M12;TALLER FINCA TOLLOCHE;5.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;RODAMIENTO PUNTA DE EJE MAZA LM104949 M40;TALLER FINCA TOLLOCHE;53.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;RETEN 10843 M37;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;LEVA 992984 M02;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TORNILLO PARKER HEXAGONAL 10 X 3/4 M61;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO POSABOLA 6 5/8 9360126 M;TALLER FINCA TOLLOCHE;15.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA 22.5 600538 M42;TALLER FINCA TOLLOCHE;300.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOBINADO MOTOR BOMBA DE VACÍO M04;TALLER FINCA TOLLOCHE;1.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA 21.5 UP3 601694 M42;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO DE TRANSICION 8 5/8 9360101 M;TALLER FINCA TOLLOCHE;10.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA SENINGER 19.5 - I-WOB 430726 M38;TALLER FINCA TOLLOCHE;72.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;RETEN DE MANCHON 29872/CORNELL M36;TALLER FINCA TOLLOCHE;3.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"REDUCCION DE 10"" A 8"" 9330148 M06";TALLER FINCA TOLLOCHE;4.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO SIN BRIDA 9362801 M;TALLER FINCA TOLLOCHE;11.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"REDUCCION TRAMO 8"" A 6"" 9360013 M";TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BULON 1/2 X 1 1/4 161027 M27;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TECLA PANEL F/R 03E1720 M12;TALLER FINCA TOLLOCHE;3.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TAPA MAZA PUNTA SIN FIN 1781713 M20;TALLER FINCA TOLLOCHE;39.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;DIAFRAGMA 991230 M60;TALLER FINCA TOLLOCHE;35.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA 24 601699 M55;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;EJE DE BOMBA CORNELL NUEVO M63;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;EJE DE BOMBA CORNELL REPARADO M63;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TUBO ROCIADOR FINAL SENNINGER 680338 M21;TALLER FINCA TOLLOCHE;1.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CODO MH 90° 3/4 M41;TALLER FINCA TOLLOCHE;16.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TERMINAL 4-6 M5 M17;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TERMINAL DE OJO AISLADO 4-6 M6 M17;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TERMINAL DE OJO AISLADO 4-6 M10 M17;TALLER FINCA TOLLOCHE;13.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;MODULO DE PANEL SELECT 2 KA01590 M13;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;MANOMETRO DE 0-30 PSI 231122 M23;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CONTACTOR 3SC8 25 A X 110 M10;TALLER FINCA TOLLOCHE;13.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;KIT DE SELLO R650002-00 (DSHC800) M13;TALLER FINCA TOLLOCHE;3.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;ADAPTADOR DE BRIDA 8 5/8 9330001 M07;TALLER FINCA TOLLOCHE;1.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"BUJE DE CARRO 4140 3"" 1/2 (89.9CM) M03";TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"ABRAZADERA 7"" 995627 M18";TALLER FINCA TOLLOCHE;16.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;ACOPLE FABRICADO  M03;TALLER FINCA TOLLOCHE;14.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;RADIADOR MOTOR SCANIA 526304 M;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TEMPORIZADOR PANEL ESTANDAR 314980 M15;TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;PLAQUETA DIODOS DE GENERADOR 3E1458 M17;TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BLOCK DE CONTACTOR 3RA1921-1DA11 M10;TALLER FINCA TOLLOCHE;79.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;RODAMIENTO 6312 / 2RS-C3 M62;TALLER FINCA TOLLOCHE;5.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;FUSIBLE 315019 M11;TALLER FINCA TOLLOCHE;5.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TORNILLO PARKER 12X1 M27;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOMBA DE AGUA 1896752 R29;TALLER FINCA TOLLOCHE;3.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;ASPERSOR I-WOB UP3 SENNINGER STYLE M01;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA UP3 M01;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;ESTACION AUTOMATICA 100-NBIOT M05;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;RETEN DE HYD 24988/PIONEER M36;TALLER FINCA TOLLOCHE;11.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TELGOPOR ALTA DENSIDAD 1830X900X250 M;TALLER FINCA TOLLOCHE;5.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;MODULO GUIA 03E1501 M66;TALLER FINCA TOLLOCHE;3.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CANASTA I WOB2 UP3 602018 M14-M48;TALLER FINCA TOLLOCHE;221.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA N°17.5 601686 M67;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
